Sample No ,Sample,SWATH Processing Date,Acq_Type,SWATH Processing Instrument,SWATH File Name,SWATH file Location,,IDA run Date,IDA_MS_Filename,Location,MS_used,Operator,MS_Method,Acq_Type,,MS_comments,BS_upload,MS_Column,MS_Col_SN,MS_Trap
1,JFCF-6/T.5K-vector,19/1/17,SWATH,ProCan 2, SWATH_Sample_01,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,8/12/16,Cell Immortalization Study_Sample_01,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161208,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
2,JFCF-6/T.1J/1-4D,19/1/17,SWATH,ProCan 2, SWATH_Sample_02,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,8/12/16,Cell Immortalization Study_Sample_02,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161208,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
3,JFCF-6/T.1J/1C,19/1/17,SWATH,ProCan 2, SWATH_Sample_03,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,8/12/16,Cell Immortalization Study_Sample_03,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161208,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
4,GM847DM,19/1/17,SWATH,ProCan 2, SWATH_Sample_04,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,8/12/16,Cell Immortalization Study_Sample_04,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161208,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
5,IVG-BF/LXSN post,19/1/17,SWATH,ProCan 2, SWATH_Sample_05,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,13/12/16,Cell Immortalization Study_Sample_05,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161213,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
6,G292,19/1/17,SWATH,ProCan 2, SWATH_Sample_06,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,13/12/16,Cell Immortalization Study_Sample_06,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161213,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
7,SK-LU-1,19/1/17,SWATH,ProCan 2, SWATH_Sample_07,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,13/12/16,Cell Immortalization Study_Sample_07,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161213,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
8,IIICF E6E7/C4,19/1/17,SWATH,ProCan 2, SWATH_Sample_08,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,13/12/16,Cell Immortalization Study_Sample_08,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161213,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
9,IIICF-T/B1,19/1/17,SWATH,ProCan 2, SWATH_Sample_09,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,14/12/16,Cell Immortalization Study_Sample_09,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161215,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
10,JFCF-6/T.5K-sc1,19/1/17,SWATH,ProCan 2, SWATH_Sample_10,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,14/12/16,Cell Immortalization Study_Sample_10,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161215,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
11,JFCF-6/T.1/R,19/1/17,SWATH,ProCan 2, SWATH_Sample_11,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,14/12/16,Cell Immortalization Study_Sample_11,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161215,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
12,JFCF-6/T.1J/11C,19/1/17,SWATH,ProCan 2, SWATH_Sample_12,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,14/12/16,Cell Immortalization Study_Sample_12,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161215,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
13,WI-38 VA13/2RA,19/1/17,,ProCan 2,,,,,,,,,,,,,,,,
14,LFS-05F-24 post,19/1/17,,ProCan 2,,,,,,,,,,,,,,,,
15,IIICF/c,19/1/17,SWATH,ProCan 2, SWATH_Sample_15,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,28/12/16,Cell Immortalization Study_Sample_15,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161228,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
16,JFCF-6/T.5K,19/1/17,SWATH,ProCan 2, SWATH_Sample_16,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,28/12/16,Cell Immortalization Study_Sample_16,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20161228,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
17,IIICF-T/A6,19/1/17,,ProCan 2,,,,,,,,,,,,,,,,
18,JFCF-6/T.1J/12E,19/1/17,,ProCan 2,,,,,,,,,,,,,,,,
19,JFCF-6/T.1J/11E,19/1/17,SWATH,ProCan 2, SWATH_Sample_19,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_19,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
20,SAOS-2,19/1/17,SWATH,ProCan 2, SWATH_Sample_20,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_20,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
21,MeT-4A,19/1/17,SWATH,ProCan 2, SWATH_Sample_21,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_21,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
22,IIICF/a2,19/1/17,SWATH,ProCan 2, SWATH_Sample_22,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_22,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
23,IIICF-T/B3,19/1/17,SWATH,ProCan 2, SWATH_Sample_23,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_23,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
24,JFCF-6/T.5K-shATRX-2,19/1/17,SWATH,ProCan 2, SWATH_Sample_24,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_24,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
25,JFCF-6/T.1/F,19/1/17,SWATH,ProCan 2, SWATH_Sample_25,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_25,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
26,JFCF-6/T.1/P-shDAXX,19/1/17,SWATH,ProCan 2, SWATH_Sample_26,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_26,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
27,JFCF-6/T.5K-shDAXX,19/1/17,SWATH,ProCan 2, SWATH_Sample_27,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_27,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
28,JFCF-6/T.1J/6G,19/1/17,SWATH,ProCan 2, SWATH_Sample_28,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_28,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
29,JFCF-6/T.1/P (ALT),19/1/17,SWATH,ProCan 2, SWATH_Sample_29,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_29,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
30,JFCF-6/T.5K-sc2,19/1/17,SWATH,ProCan 2, SWATH_Sample_30,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_30,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
31,JFCF-6/T.1/P-shATRX-4,19/1/17,SWATH,ProCan 2, SWATH_Sample_31,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_31,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
32,JFCF-6/T.1/C,19/1/17,SWATH,ProCan 2, SWATH_Sample_32,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_32,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
33,JFCF-6/T.5K-shATRX-3,19/1/17,SWATH,ProCan 2, SWATH_Sample_33,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_33,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
34,JFCF-6/T.1J/1.3C,19/1/17,SWATH,ProCan 2, SWATH_Sample_34,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_34,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
35,JFCF-6/T.2H,19/1/17,SWATH,ProCan 2, SWATH_Sample_35,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,6/1/17,Cell Immortalization Study_Sample_35,\\cmri-ProStor1\ProCan Storage - DAS 2\Procan\Procan2\SM\Data\20170106,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
36,JFCF-6/T.1J/1D,1/2/17,SWATH,ProCan 5, Cell Study_Sample36,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
37,JFCF-6/T.1J/9E,1/2/17,SWATH,ProCan 5, Cell Study_Sample37,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
38,JFCF-6/T.1/P-shATRX-1,1/2/17,SWATH,ProCan 5, Cell Study_Sample38,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
39,JFCF-6/T.1/P-shATRX-3,1/2/17,SWATH,ProCan 5, Cell Study_Sample39,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
40,JFCF-6/T.5K-shATRX-4,1/2/17,SWATH,ProCan 5, Cell Study_Sample40,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
41,JFCF-6/T.1/H,1/2/17,SWATH,ProCan 5, Cell Study_Sample41,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
42,JFCF-6/T.1/P-shATRX-2,1/2/17,SWATH,ProCan 5, Cell Study_Sample42,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
43,JFCF-6/T.1/P-sc2,1/2/17,SWATH,ProCan 5, Cell Study_Sample43,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
44,JFCF-6/T.1J/5H,1/2/17,SWATH,ProCan 5, Cell Study_Sample44,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
45,JFCF-6/T.1J/6B,1/2/17,SWATH,ProCan 5, Cell Study_Sample45,,Intensity of SWATH acquisition too high,,,,,,,,,,,,,
46,JFCF-6/T.1J/4D,1/2/17,SWATH,ProCan 5, Cell Study_Sample46,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
47,JFCF-6/T.5K-shATRX-1,1/2/17,SWATH,ProCan 5, Cell Study_Sample47,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
48,JFCF-6/T.1J/4F,1/2/17,SWATH,ProCan 5, Cell Study_Sample48,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
49,JFCF-6/T.1/D,1/2/17,SWATH,ProCan 5, Cell Study_Sample49,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
50,JFCF-6/T.1/G,1/2/17,SWATH,ProCan 5, Cell Study_Sample50,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
51,JFCF-6/T.1/L,1/2/17,SWATH,ProCan 5, Cell Study_Sample51,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
52,JFCF-6/T.1/M,1/2/17,SWATH,ProCan 5, Cell Study_Sample52,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
53,JFCF-6/T.1/P,1/2/17,SWATH,ProCan 5, Cell Study_Sample53,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
54,JFCF-6/T.1/Q,1/2/17,SWATH,ProCan 5, Cell Study_Sample54,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
55,JFCF-6/T.1/P-EV,1/2/17,SWATH,ProCan 5, Cell Study_Sample55,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
56,WI-38 VA13/2RA,1/2/17,SWATH,ProCan 5, Cell Study_Sample56,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
57,LFS-05F-24 post,1/2/17,SWATH,ProCan 5, Cell Study_Sample57,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,17/1/17,Cell Immortalization Study_Sample_57,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
58,IIICF-T/A6,1/2/17,SWATH,ProCan 5, Cell Study_Sample58,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,17/1/17,Cell Immortalization Study_Sample_58,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
59,JFCF-6/T.1J/12E,1/2/17,SWATH,ProCan 5, Cell Study_Sample59,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,17/1/17,Cell Immortalization Study_Sample_59,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
60,CHLA 291,1/2/17,SWATH,ProCan 5, Cell Study_Sample60,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,17/1/17,Cell Immortalization Study_Sample_60,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
61,CHLA 90,1/2/17,SWATH,ProCan 5, Cell Study_Sample61,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,17/1/17,Cell Immortalization Study_Sample_61,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
62,SK-N-FI,1/2/17,SWATH,ProCan 5, Cell Study_Sample62,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,17/1/17,Cell Immortalization Study_Sample_62,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
63,LAN-6,1/2/17,SWATH,ProCan 5, Cell Study_Sample63,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,16/1/17,Cell Immortalization Study_Sample_63,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
64,SK-N-BE2c,1/2/17,SWATH,ProCan 5, Cell Study_Sample64,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,17/1/17,Cell Immortalization Study_Sample_64,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
65,SH-SY5Y,1/2/17,SWATH,ProCan 5, Cell Study_Sample65,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,Repeated in ProCan 5,17/1/17,Cell Immortalization Study_Sample_65,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
66,LOX IMVI            ,30/1/17,SWATH,ProCan 5, Cell Study_Sample66,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,17/1/17,Cell Immortalization Study_Sample_66,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
67,LOX SMC5A      ,30/1/17,SWATH,ProCan 5, Cell Study_Sample67,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,17/1/17,Cell Immortalization Study_Sample_67,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
68,LOX SMC5B        ,30/1/17,SWATH,ProCan 5, Cell Study_Sample68,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,17/1/17,Cell Immortalization Study_Sample_68,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
69,LOX TR6A3          ,30/1/17,SWATH,ProCan 5, Cell Study_Sample69,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,17/1/17,Cell Immortalization Study_Sample_69,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
70,LOX TR7C1         ,30/1/17,SWATH,ProCan 5, Cell Study_Sample70,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,17/1/17,Cell Immortalization Study_Sample_70,,ProCan 2,SM,90 Min IDA_06,IDA,,,,,,
71,JFCF-6/T.5K-shATRX-2,30/1/17,SWATH,ProCan 5, Cell Study_Sample71,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
72,JFCF-6/T.1/F,30/1/17,SWATH,ProCan 5, Cell Study_Sample72,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
73,JFCF-6/T.1/P-shDAXX,30/1/17,SWATH,ProCan 5, Cell Study_Sample73,\\cmri-ProStor1\ProCan Storage - DAS 2\ProCan\Projects\E0013 - Cell Study SWATH\Cell_Study_Data\Complete Dataset,,,,,,,,,,,,,,
